subject,trial_name,trial_num,step_count_raw,duration_raw_sec,distance_2d_raw_m,speed_raw_ms,step_count_valid,mean_step_time,step_time_std,cadence_spm,duration_valid_sec,distance_2d_valid_m,walking_speed_ms,step_length_m,ratio_valid_steps,is_valid_trial,duration_walk_sec,distance_2d_m
Afi,Jalan1,1,3,0.7148159999997006,1.1804834350772042,1.651450772055604,3,0.3574079999998503,0.040570958670107786,167.87536932588284,0.7148159999997006,1.1804834350772042,1.651450772055604,0.3934944783590681,1.0,0,0.7148159999997006,1.1804834350772042
Afi,Jalan2,2,6,2.083814000005077,0.7326010509505032,0.3515673908269732,6,0.3042180000029475,0.033932385868054096,197.22698853920107,2.083814000005077,0.7326010509505032,0.3515673908269732,0.1221001751584172,1.0,1,2.083814000005077,0.7326010509505032
Afi,Jalan3,3,5,1.5973630000007688,3.0818162337170407,1.9293148981888009,5,0.3993407500001922,0.05202168869647701,150.24762686996286,1.5973630000007688,3.0818162337170407,1.9293148981888009,0.6163632467434081,1.0,1,1.5973630000007688,3.0818162337170407
Afi,Jalan4,4,2,0.39192999999795575,4.584173262397556,11.696408191313415,2,0.39192999999795575,0.0,153.088561733761,0.39192999999795575,4.584173262397556,11.696408191313415,2.292086631198778,1.0,0,0.39192999999795575,4.584173262397556
Afi,Jalan5,5,5,1.9710740000009537,2.4929025918966925,1.2647432779771264,4,0.3497149999990749,0.08199157963893623,171.5682770260318,1.0491449999972247,1.700044628758962,1.620409599019639,0.4250111571897405,0.8,0,1.0491449999972247,1.700044628758962
Afi,Jalan6,6,4,1.1523310000047786,3.92892997927201,3.4095498422377917,4,0.30108750000363216,0.0407470282667803,199.27761863005335,1.1523310000047786,3.92892997927201,3.4095498422377917,0.9822324948180025,1.0,0,1.1523310000047786,3.92892997927201
Afi,Jalan7,7,7,2.924983999997494,2.5485898285909276,0.871317528093525,6,0.30729319999954896,0.04776657361912666,195.25326300773355,1.5364659999977448,1.8491144918107816,1.203485460669807,0.30818574863513026,0.8571428571428571,1,1.5364659999977448,1.8491144918107816
Afi,Jalan8,8,5,1.221944999997504,1.6333870153248171,1.3367107482973075,5,0.305486249999376,0.035183489843192084,196.40818531152402,1.221944999997504,1.6333870153248171,1.3367107482973075,0.3266774030649634,1.0,1,1.221944999997504,1.6333870153248171
Afi,Jalan9,9,5,3.1344820000012987,0.7815607508073008,0.24934287413581477,4,0.3083003333328331,0.07105529164382003,194.6154237051231,0.9249009999984992,0.7414422794753989,0.8016450187388726,0.18536056986884972,0.8,0,0.9249009999984992,0.7414422794753989
Afi,Jalan10,10,6,1.7088139999978011,1.5870763939886001,0.9287590071187632,5,0.3859046666645251,0.0020216867549843467,155.47881428487423,1.432831999998598,1.3730077380385464,0.9582475391671109,0.2746015476077093,0.8333333333333334,1,1.432831999998598,1.3730077380385464
Afi,Jalan11,11,6,2.574859000000288,2.669618106774798,1.036801668275622,6,0.29495133333451423,0.03387733673686056,203.4233896205242,2.574859000000288,2.669618106774798,1.036801668275622,0.44493635112913305,1.0,1,2.574859000000288,2.669618106774798
