frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev
1,-1,,,,0,0
2,-1,,,,0,0
3,0,1.0294928057307884,2.8777337069540048,0.8795395997959139,21,0
4,-1,,,,0,0
5,0,1.0294928057307884,2.8777337069540048,0.8795395997959139,8,1
6,0,1.0294928057307884,2.8777337069540048,0.8795395997959139,24,1
7,0,0.8413665618611978,2.935963507151543,1.049413058092905,22,0
8,-1,,,,0,0
9,0,0.8413665618611978,2.935963507151543,1.049413058092905,5,1
10,-1,,,,0,0
11,0,0.7194068239126793,2.915239393660468,1.0168270830269999,12,0
12,-1,,,,0,0
13,0,0.9405787131345977,2.9287895851198984,1.0403302968635344,5,0
14,-1,,,,0,0
15,0,1.1330163907154522,2.8725404563896766,0.848302995953291,31,0
16,0,1.1330163907154522,2.8725404563896766,0.848302995953291,23,1
17,0,1.1330163907154522,2.8725404563896766,0.848302995953291,22,1
18,0,0.9362937523808467,2.8680168556826047,1.0204456089309717,28,0
19,0,0.8810464326066313,2.8917637232625566,0.9802463005889352,6,0
20,0,0.8810464326066313,2.8917637232625566,0.9802463005889352,9,1
21,-1,,,,0,0
22,0,0.8810464326066313,2.8917637232625566,0.9802463005889352,20,1
23,0,0.8594410631771271,2.8756507033108982,1.1283409280388135,39,0
24,0,0.588140194314889,2.9557845936704683,1.050624842084086,15,0
25,0,0.7677523557855166,2.863477707736003,1.1059961175328294,56,0
26,0,0.7465429321765492,2.852890610515757,1.096187166849041,22,0
27,0,0.8117897383472213,2.7879357346996216,1.0695874609240974,12,0
28,-1,,,,0,0
29,0,0.7582209801513407,2.726855119265692,0.9429694657780517,49,0
30,0,0.7952708741232027,2.682320675647453,0.9898408726728124,30,0
31,0,0.7461531611562083,2.6345964201207264,0.9451819992265765,33,0
32,0,0.7461531611562083,2.6345964201207264,0.9451819992265765,29,1
33,0,0.783341274013556,2.5843242635839463,0.9646580428163283,38,0
34,0,0.708081356658148,2.534820512008273,0.9230546103423386,8,0
35,0,0.8499549556815845,2.5054560954740595,0.673932116725548,12,0
36,0,0.8499549556815845,2.5054560954740595,0.673932116725548,31,1
37,0,0.8698092001989465,2.3767569598234837,0.9304087582087388,57,0
38,0,0.9228517148177378,2.260189553447205,1.165710380743952,11,0
39,0,0.9015690724623331,2.230921024593029,0.9644951317070659,75,0
40,0,0.8134574966266195,2.1456689389995183,0.8450029264326131,82,0
41,0,0.8571144643051082,2.124823697393762,0.9702552324088948,81,0
42,0,0.9383441684197903,2.0455672672992953,1.1451878052506668,62,0
43,0,0.9180426910195689,1.9584503930376036,1.2348924107761545,31,0
44,0,0.9180426910195689,1.9584503930376036,1.2348924107761545,14,1
45,0,0.9106915826465459,1.8374698970311856,1.1721172190977107,69,0
46,0,0.8711794268223771,1.764379056121286,1.228973686211,32,0
47,0,0.8711794268223771,1.764379056121286,1.228973686211,15,1
48,0,0.8640210256662973,1.6147705518939863,1.1512730623796033,71,0
49,0,0.8222192162811366,1.5978384422683822,1.1983215374384169,35,0
50,0,0.8413700024099628,1.5261721834845512,1.1826196588835718,6,0
51,0,0.8455476739659341,1.491959042764621,1.2705793530758829,6,0
52,0,0.8455476739659341,1.491959042764621,1.2705793530758829,21,1
53,0,0.7735522466627951,1.3235672788502535,1.081019982070266,44,0
54,0,0.7735522466627951,1.3235672788502535,1.081019982070266,33,1
55,0,0.8890009584441727,1.1811515200170548,1.2205017674515075,6,0
56,0,0.8890009584441727,1.1811515200170548,1.2205017674515075,5,1
57,1,0.855027657009786,1.0954829146338574,1.245949262944774,42,0
58,0,0.8759902708165024,1.0254513596923125,1.403229535809789,49,0
59,0,0.8725881141839492,0.9223186438399151,1.4168899716651995,34,0
60,0,0.8545768829018734,0.8877156709809081,1.4576207738061073,46,0
61,0,0.9075551426768288,0.7923177652430592,1.2125124460181138,15,0
62,0,0.8841270270876794,0.6907324372575859,1.1532413649060427,10,0
63,0,0.8198046538569007,0.6881691593927473,1.3958468647794293,6,0
64,0,0.7856788470090429,0.6902705940798877,1.3738000228451512,19,0
65,0,0.8080148433030389,0.5920331284790318,1.347036551821876,7,0
66,0,0.8483656080944663,0.55796250505503,1.428322274459157,6,0
67,0,0.8719776092918119,0.47993665148137443,1.4534301803838954,5,0
68,0,0.841552268791812,0.42127628712367965,1.4276809459794704,6,0
69,0,0.7946888442424591,0.3855182375735114,1.4567535143297474,23,0
70,-1,,,,0,0
73,-1,,,,0,0
74,-1,,,,0,0
75,-1,,,,0,0
76,-1,,,,0,0
77,-1,,,,0,0
78,-1,,,,0,0
79,-1,,,,0,0
80,-1,,,,0,0
81,-1,,,,0,0
82,-1,,,,0,0
83,-1,,,,0,0
84,-1,,,,0,0
85,-1,,,,0,0
86,-1,,,,0,0
87,-1,,,,0,0
